Date,New Cars Sold,Used Cars Sold,Value of New Cars Sold,Value of Used Cars Sold,Cars Sold,Monthly Change in Cars Sold,Monthly Change in Cars Sold (%),Total Value of Cars Sold,Monthly Change in Value of Cars Sold,Monthly Change in Value of Cars Sold (%),Monthly Change in Number of New Cars Sold,Monthly Change in Number of New Cars Sold (%),Monthly Change in Value of New Cars Sold,Monthly Change in Value of New Cars Sold (%),Monthly Change in Number of Used Cars Sold,Monthly Change in Number of Used Cars Sold (%),Monthly Change in Value of Used Cars Sold,Monthly Change in Value of Used Cars Sold (%)
2010-08-01,23136,54934,644471700,457619574,78070,-7972.0,-9.26524255596104,1102091274,-65917023.0,-5.643540646869227,-2714.0,-10.499032882011605,-42184108.0,-6.143413848470647,-5258.0,-8.735380116959067,-23732915.0,-4.930464792922262
2010-09-01,23512,57005,659524567,460747955,80517,2447.0,3.1343665940822385,1120272522,18181248.0,1.649704378296346,376.0,1.625172890733051,15052867.0,2.3356909232786993,2071.0,3.769978519678152,3128381.0,0.6836204519520939
2010-10-01,24520,54371,692681798,452201494,78891,-1626.0,-2.0194493088416143,1144883292,24610770.0,2.196855632597594,1008.0,4.287172507655668,33157231.0,5.027444413605897,-2634.0,-4.620647311639326,-8546461.0,-1.8549102404589068
2010-11-01,22003,50911,629304220,423489578,72914,-5977.0,-7.576276127821934,1052793798,-92089494.0,-8.043570435823955,-2517.0,-10.26508972267537,-63377578.0,-9.149594833153095,-3460.0,-6.363686524066137,-28711916.0,-6.349363365880434
2010-12-01,20551,48275,601640805,403191833,68826,-4088.0,-5.606605041555801,1004832638,-47961160.0,-4.555608143884604,-1452.0,-6.599100122710544,-27663415.0,-4.395873112053817,-2636.0,-5.177662980495379,-20297745.0,-4.79297391351624
2011-01-01,21075,44550,626205792,398505383,65625,-3201.0,-4.650858687124049,1024711175,19878537.0,1.978293324504854,524.0,2.549754269865212,24564987.0,4.0829988251877225,-3725.0,-7.716209218021753,-4686450.0,-1.1623375317723728
2011-02-01,22239,43292,649505622,374185956,65531,-94.0,-0.14323809523809627,1023691578,-1019597.0,-0.09950091546527817,1164.0,5.5231316725978585,23299830.0,3.720794393418836,-1258.0,-2.823793490460158,-24319427.0,-6.102659596947024
2011-03-01,18863,48464,541928549,375638939,67327,1796.0,2.740687613495907,917567488,-106124090.0,-10.36680307630703,-3376.0,-15.180538693286572,-107577073.0,-16.562916371492165,5172.0,11.946780005543744,1452983.0,0.38830505974414287
2011-04-01,27667,65857,760075360,513965808,93524,26197.0,38.91009550403255,1274041168,356473680.0,38.849859510279416,8804.0,46.67338175263745,218146811.0,40.253795708408056,17393.0,35.88849455265763,138326869.0,36.82442224127356
2011-05-01,25793,57373,713850012,465992034,83166,-10358.0,-11.075232026004024,1179842046,-94199122.0,-7.393726699418557,-1874.0,-6.773412368525678,-46225348.0,-6.081679585034827,-8484.0,-12.882457445677753,-47973774.0,-9.334039979562226
