,Date,New Cars Sold,Used Cars Sold,Value of New Cars Sold,Value of Used Cars Sold
114,2011-07-01,23154,50549,662962907,447965139
115,2011-08-01,24875,56055,733038484,492531070
116,2011-09-01,24945,50389,736524414,447044465
117,2011-10-01,22996,49497,685279242,443101644
118,2011-11-01,22177,47040,684647259,429841495
119,2011-12-01,22512,43874,710741092,415418423
120,2012-01-01,25223,46367,775943607,419503746
121,2012-02-01,21783,53216,653555445,427637684
122,2012-03-01,28280,62426,790798381,513936240
123,2012-04-01,27467,56913,766243639,493881213
124,2012-05-01,29390,55096,822158205,489914146
125,2012-06-01,29662,53148,847168622,487154088
126,2012-07-01,26593,52146,791818346,468241971
127,2012-08-01,28765,56079,851322732,514215353
128,2012-09-01,26671,50566,777860867,453896775
129,2012-10-01,27300,53460,815238036,479430068
130,2012-11-01,22996,46673,692717590,429661696
131,2012-12-01,22632,41588,700168869,404654091
132,2013-01-01,27083,46843,842788566,453614704
133,2013-02-01,21639,47884,666540837,411525315
134,2013-03-01,29606,60740,876674543,516055403
135,2013-04-01,31273,60899,890714636,534686074
136,2013-05-01,32103,59114,905273123,548815730
137,2013-06-01,31181,53038,893995360,487560735
138,2013-07-01,31348,58276,935844662,543294518
139,2013-08-01,28407,56801,846084877,536010618
140,2013-09-01,28654,54525,873865855,508508353
141,2013-10-01,27106,55433,876865110,525502076
142,2013-11-01,23235,47181,743865185,460464879
143,2013-12-01,23574,44021,760977262,450091642
144,2014-01-01,26792,44887,866726180,460264339
145,2014-02-01,20202,46154,629593928,420312854
146,2014-03-01,25318,58015,778419410,530709741
147,2014-04-01,29820,61277,901354171,565840381
148,2014-05-01,31504,56649,930989023,533756933
149,2014-06-01,32620,58619,964450549,567571137
150,2014-07-01,33299,60001,1024912743,597775943
151,2014-08-01,30982,56517,967003330,544939982
152,2014-09-01,32431,59261,1015189704,568777644
153,2014-10-01,29250,59014,923842238,583891303
154,2014-11-01,22582,46000,723803223,456675447
155,2014-12-01,26419,50072,850948572,514628809
156,2015-01-01,28889,48465,974532500,512446033
157,2015-02-01,22430,51038,709556549,484053250
158,2015-03-01,27428,61346,834375096,575005263
159,2015-04-01,32240,64350,988046475,632625988
160,2015-05-01,29626,57563,898866880,558692764
161,2015-06-01,34695,54124,1051510311,581809219
162,2015-07-01,34179,62920,1062988492,650454487
163,2015-08-01,30125,61268,958163037,618794306
164,2015-09-01,32154,62182,1035533325,632452008
165,2015-10-01,30552,62954,991747766,653329361
166,2015-11-01,25828,54354,858213639,568019044
167,2015-12-01,29062,56592,969641175,621925235
168,2016-01-01,25835,45285,878106665,518918140
169,2016-02-01,24257,58184,813473347,581005001
170,2016-03-01,30675,73163,988609546,723865536
171,2016-04-01,29787,66793,943502901,693293383
172,2016-05-01,31525,65659,1018042636,712783380
173,2016-06-01,34366,68750,1094447550,751886189
174,2016-07-01,29636,62545,960502273,691521741
175,2016-08-01,29945,70887,994401467,780694327
176,2016-09-01,28544,66056,976643490,742588270
177,2016-10-01,27082,61678,907244735,685808210
178,2016-11-01,25381,58037,857844856,641353419
179,2016-12-01,26205,56234,926735097,655654762
180,2017-01-01,28827,56583,1000285431,674078790
181,2017-02-01,22413,55989,776222008,592255229
182,2017-03-01,27838,72717,926703144,744746293
183,2017-04-01,26135,62740,867722291,654981615
184,2017-05-01,28931,68296,937804113,718689038
185,2017-06-01,31835,67827,1019153457,720739448
186,2017-07-01,28331,62372,906844054,657619227
187,2017-08-01,29644,69737,999821400,751224882
188,2017-09-01,28175,59925,955788877,643188965
189,2017-10-01,27886,63917,967866431,696489631
190,2017-11-01,24970,57147,861135057,641563065
191,2017-12-01,24944,51261,868882914,578032505
192,2018-01-01,28607,55276,1020767142,652390067
193,2018-02-01,21448,54539,738782711,584178507
194,2018-03-01,26914,67288,894044008,707459045
195,2018-04-01,26729,66047,912292887,700677043
196,2018-05-01,30967,67515,974812847,727531733
197,2018-06-01,31779,64600,1051832066,729899558
198,2018-07-01,30342,67117,1022752575,759245612
199,2018-08-01,30188,69867,1064196448,785536949
200,2018-09-01,27180,58483,936629687,672015932
201,2018-10-01,28879,66603,1009595823,769511706
202,2018-11-01,24846,57480,877595733,678286668
203,2018-12-01,26350,53781,953848511,637432990
204,2019-01-01,31090,58907,1132044244,728500177
205,2019-02-01,21694,52578,763740318,611220842
206,2019-03-01,26485,67022,912994576,726850233
207,2019-04-01,30044,70469,1031766223,789665397
208,2019-05-01,29396,69242,998392416,803918059
209,2019-06-01,29142,63122,1023455424,745753203
210,2019-07-01,30821,68577,1101287239,825296531
211,2019-08-01,28399,67159,1012102960,793732403
212,2019-09-01,29591,62846,1068228890,744093843
213,2019-10-01,28967,66581,1055208739,819198662
214,2019-11-01,23573,55334,868580552,685903924
215,2019-12-01,24839,55489,920768845,695161427
216,2020-01-01,27704,57577,1045539743,727641906
217,2020-02-01,22344,55032,802833375,660514435
218,2020-03-01,23873,58963,853033479,734371921
219,2020-04-01,13700,29420,495796657,372792902
220,2020-05-01,14835,37572,518292774,403317249
221,2020-06-01,23704,63395,821297823,699671992
222,2020-07-01,26190,61905,995093228,746109876
223,2020-08-01,27372,59328,1033767509,696083170
224,2020-09-01,27733,54035,1063945651,649440784
225,2020-10-01,24777,49328,937336920,596988709
226,2020-11-01,25187,46598,966657333,613844483
227,2020-12-01,28061,44427,1256023978,620534357
